,Driver,Stint,Compound,GP,Year,StintLength
0,ALB,1.0,HARD,Australia,2022,43
1,ALB,1.0,HARD,Mexico,2023,30
2,ALB,1.0,MEDIUM,Abu Dhabi,2019,12
3,ALB,1.0,MEDIUM,Abu Dhabi,2022,11
4,ALB,1.0,MEDIUM,Abu Dhabi,2023,14
5,ALB,1.0,MEDIUM,Austin,2022,9
6,ALB,1.0,MEDIUM,Austin,2023,9
7,ALB,1.0,MEDIUM,Australia,2023,3
8,ALB,1.0,MEDIUM,Austria,2019,32
9,ALB,1.0,MEDIUM,Austria,2022,9
10,ALB,1.0,MEDIUM,Azerbaijan,2022,7
11,ALB,1.0,MEDIUM,Azerbaijan,2023,6
12,ALB,1.0,MEDIUM,Belgium,2019,19
13,ALB,1.0,MEDIUM,Belgium,2022,5
14,ALB,1.0,MEDIUM,Canada,2022,14
15,ALB,1.0,MEDIUM,Canada,2023,9
16,ALB,1.0,MEDIUM,China,2022,14
17,ALB,1.0,MEDIUM,China,2023,9
18,ALB,1.0,MEDIUM,Great Britain,2023,31
19,ALB,1.0,MEDIUM,Hungary,2019,26
20,ALB,1.0,MEDIUM,Hungary,2023,7
21,ALB,1.0,MEDIUM,Imola,2023,15
22,ALB,1.0,MEDIUM,Mexico,2019,10
23,ALB,1.0,MEDIUM,Mexico,2022,36
24,ALB,1.0,MEDIUM,Miami,2019,10
25,ALB,1.0,MEDIUM,Miami,2022,14
26,ALB,1.0,MEDIUM,Miami,2023,20
27,ALB,1.0,MEDIUM,Monaco,2023,16
28,ALB,1.0,MEDIUM,Monza,2023,15
29,ALB,1.0,MEDIUM,Netherlands,2022,19
30,ALB,1.0,MEDIUM,Qatar,2019,32
31,ALB,1.0,MEDIUM,Qatar,2022,9
32,ALB,1.0,MEDIUM,Qatar,2023,12
33,ALB,1.0,MEDIUM,Saudi Arabia,2022,11
34,ALB,1.0,MEDIUM,Saudi Arabia,2023,15
35,ALB,1.0,MEDIUM,Singapore,2023,18
36,ALB,1.0,SOFT,Abu Dhabi,2020,8
37,ALB,1.0,SOFT,Austin,2020,19
38,ALB,1.0,SOFT,Australia,2019,12
39,ALB,1.0,SOFT,Australia,2020,19
40,ALB,1.0,SOFT,Austria,2020,19
41,ALB,1.0,SOFT,Azerbaijan,2019,7
42,ALB,1.0,SOFT,Azerbaijan,2020,19
43,ALB,1.0,SOFT,Bahrain,2019,8
44,ALB,1.0,SOFT,Bahrain,2022,11
45,ALB,1.0,SOFT,Bahrain,2023,9
46,ALB,1.0,SOFT,Belgium,2020,9
47,ALB,1.0,SOFT,Belgium,2023,5
48,ALB,1.0,SOFT,Brazil,2019,22
49,ALB,1.0,SOFT,China,2019,18
50,ALB,1.0,SOFT,Great Britain,2019,12
51,ALB,1.0,SOFT,Imola,2019,24
52,ALB,1.0,SOFT,Imola,2020,10
53,ALB,1.0,SOFT,Japan,2019,14
54,ALB,1.0,SOFT,Japan,2020,15
55,ALB,1.0,SOFT,Miami,2020,15
56,ALB,1.0,SOFT,Monaco,2019,32
57,ALB,1.0,SOFT,Monaco,2020,18
58,ALB,1.0,SOFT,Monza,2019,24
59,ALB,1.0,SOFT,Monza,2020,18
60,ALB,1.0,SOFT,Netherlands,2019,12
61,ALB,1.0,SOFT,Netherlands,2020,6
62,ALB,1.0,SOFT,Netherlands,2023,27
63,ALB,1.0,SOFT,Qatar,2020,19
64,ALB,1.0,SOFT,Saudi Arabia,2019,12
65,ALB,1.0,SOFT,Saudi Arabia,2020,8
66,ALB,1.0,SOFT,Singapore,2019,18
67,ALB,1.0,SOFT,Spain,2019,23
68,ALB,1.0,SOFT,Spain,2020,15
69,ALB,1.0,SOFT,Spain,2022,9
70,ALB,1.0,SOFT,Spain,2023,14
71,ALB,2.0,HARD,Abu Dhabi,2019,41
72,ALB,2.0,HARD,Abu Dhabi,2020,42
73,ALB,2.0,HARD,Abu Dhabi,2022,22
74,ALB,2.0,HARD,Abu Dhabi,2023,26
75,ALB,2.0,HARD,Austin,2020,20
76,ALB,2.0,HARD,Austin,2023,18
77,ALB,2.0,HARD,Australia,2020,20
78,ALB,2.0,HARD,Austria,2019,34
79,ALB,2.0,HARD,Austria,2020,20
80,ALB,2.0,HARD,Austria,2022,1
81,ALB,2.0,HARD,Azerbaijan,2020,20
82,ALB,2.0,HARD,Azerbaijan,2022,19
83,ALB,2.0,HARD,Azerbaijan,2023,39
84,ALB,2.0,HARD,Belgium,2022,15
85,ALB,2.0,HARD,Canada,2019,57
86,ALB,2.0,HARD,Canada,2022,27
87,ALB,2.0,HARD,Canada,2023,54
88,ALB,2.0,HARD,China,2019,35
89,ALB,2.0,HARD,China,2020,19
90,ALB,2.0,HARD,China,2022,27
91,ALB,2.0,HARD,China,2023,54
92,ALB,2.0,HARD,Great Britain,2020,15
93,ALB,2.0,HARD,Hungary,2019,40
94,ALB,2.0,HARD,Hungary,2023,22
95,ALB,2.0,HARD,Imola,2020,33
96,ALB,2.0,HARD,Imola,2023,35
97,ALB,2.0,HARD,Japan,2020,20
98,ALB,2.0,HARD,Miami,2020,20
99,ALB,2.0,HARD,Miami,2022,33
100,ALB,2.0,HARD,Miami,2023,34
101,ALB,2.0,HARD,Monaco,2023,31
102,ALB,2.0,HARD,Monza,2023,35
103,ALB,2.0,HARD,Qatar,2019,34
104,ALB,2.0,HARD,Qatar,2020,20
105,ALB,2.0,HARD,Qatar,2022,1
106,ALB,2.0,HARD,Saudi Arabia,2020,42
107,ALB,2.0,HARD,Saudi Arabia,2022,25
108,ALB,2.0,HARD,Saudi Arabia,2023,6
109,ALB,2.0,HARD,Singapore,2019,29
110,ALB,2.0,HARD,Singapore,2023,20
111,ALB,2.0,HARD,Spain,2020,20
112,ALB,2.0,HARD,Spain,2023,19
113,ALB,2.0,MEDIUM,Austin,2019,18
114,ALB,2.0,MEDIUM,Austin,2022,7
115,ALB,2.0,MEDIUM,Australia,2019,42
116,ALB,2.0,MEDIUM,Austria,2023,10
117,ALB,2.0,MEDIUM,Azerbaijan,2019,35
118,ALB,2.0,MEDIUM,Bahrain,2020,11
119,ALB,2.0,MEDIUM,Bahrain,2022,21
120,ALB,2.0,MEDIUM,Belgium,2020,30
121,ALB,2.0,MEDIUM,Belgium,2023,14
122,ALB,2.0,MEDIUM,Brazil,2019,24
123,ALB,2.0,MEDIUM,Brazil,2020,11
124,ALB,2.0,MEDIUM,Brazil,2022,17
125,ALB,2.0,MEDIUM,Great Britain,2019,34
126,ALB,2.0,MEDIUM,Hungary,2020,26
127,ALB,2.0,MEDIUM,Hungary,2022,17
128,ALB,2.0,MEDIUM,Imola,2019,23
129,ALB,2.0,MEDIUM,Imola,2022,43
130,ALB,2.0,MEDIUM,Japan,2019,18
131,ALB,2.0,MEDIUM,Japan,2023,8
132,ALB,2.0,MEDIUM,Mexico,2019,29
133,ALB,2.0,MEDIUM,Miami,2019,29
