Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0_x,Length_x,Abrasion_x,Traction_x,Braking_x,TrackEvo_x,Grip_x,Lateral_x,Downforce_x,TyreStress_x,LapTimePerKM,Unnamed: 0_y,Length_y,Abrasion_y,Traction_y,Braking_y,TrackEvo_y,Grip_y,Lateral_y,Downforce_y,TyreStress_y,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress
GAS,Red Bull Racing,10.0,119.647,2.0,SOFT,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.107723577235774,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
GAS,Red Bull Racing,40.0,117.32000000000001,3.0,MEDIUM,1.0,11.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.677753141167777,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
PER,Aston Martin,9.0,118.412,2.0,MEDIUM,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.879526977087956,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
PER,Aston Martin,34.0,120.33800000000001,3.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.235402808573543,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
LEC,Ferrari,14.0,116.203,2.0,MEDIUM,1.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.471359940872137,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
LEC,Ferrari,37.0,115.016,3.0,MEDIUM,1.0,1.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.252032520325205,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
STR,Aston Martin,2.0,127.111,2.0,MEDIUM,1.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,23.48688100517369,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
STR,Aston Martin,24.0,121.811,3.0,MEDIUM,1.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.507575757575758,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
MAG,Haas F1 Team,11.0,116.83800000000001,2.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.58869179600887,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
MAG,Haas F1 Team,39.0,119.08600000000001,3.0,SOFT,4.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.00406504065041,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
ALB,AlphaTauri,10.0,118.22000000000001,2.0,SOFT,1.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.84405025868441,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
ALB,AlphaTauri,26.0,119.635,3.0,MEDIUM,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.10550628233555,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
KVY,AlphaTauri,13.0,119.70400000000001,2.0,MEDIUM,1.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.118255728011828,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
KVY,AlphaTauri,39.0,123.927,3.0,SOFT,1.0,15.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.898558758314856,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
HUL,Alpine,13.0,117.266,2.0,SOFT,1.0,10.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.667775314116778,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
HUL,Alpine,33.0,119.24700000000001,3.0,MEDIUM,1.0,10.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.033813747228383,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
RIC,Alpine,25.0,120.07300000000001,2.0,MEDIUM,1.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.186437546193645,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
VER,Red Bull Racing,12.0,116.42,2.0,MEDIUM,1.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.511456023651146,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
VER,Red Bull Racing,33.0,119.409,3.0,MEDIUM,1.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.063747228381377,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
NOR,McLaren,11.0,116.018,2.0,MEDIUM,1.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.437176644493718,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
NOR,McLaren,35.0,117.59100000000001,3.0,SOFT,4.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.727827050997785,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
HAM,Mercedes,14.0,114.28500000000001,2.0,SOFT,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.1169623059867,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
HAM,Mercedes,35.0,113.602,3.0,MEDIUM,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,20.990761271249077,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
VET,Ferrari,15.0,115.111,2.0,MEDIUM,1.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.26958610495196,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
VET,Ferrari,36.0,113.846,3.0,MEDIUM,1.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.035846267553584,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
VET,Ferrari,39.0,126.01200000000001,4.0,SOFT,4.0,9.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,23.283813747228386,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
SAI,McLaren,5.0,138.084,2.0,MEDIUM,1.0,20.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,25.514412416851442,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
SAI,McLaren,25.0,118.41600000000001,3.0,HARD,2.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.88026607538803,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
SAI,McLaren,41.0,116.052,4.0,SOFT,4.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.443458980044348,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
RUS,Williams,13.0,119.554,2.0,MEDIUM,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.090539541759053,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
RUS,Williams,27.0,120.846,3.0,MEDIUM,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.32926829268293,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
RAI,Alfa Romeo,10.0,117.408,2.0,MEDIUM,1.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.694013303769403,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
RAI,Alfa Romeo,34.0,118.677,3.0,SOFT,4.0,12.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.92849223946785,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
BOT,Mercedes,13.0,117.03,2.0,MEDIUM,1.0,6.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.624168514412418,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
BOT,Mercedes,38.0,117.545,2.0,MEDIUM,26.0,3.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.719327420546932,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
GRO,Haas F1 Team,2.0,125.01500000000001,2.0,MEDIUM,1.0,20.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,23.09959349593496,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
KUB,Williams,12.0,117.87100000000001,2.0,SOFT,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.779563932002958,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
KUB,Williams,28.0,119.215,3.0,MEDIUM,2.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.02790096082779,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
GIO,Alfa Romeo,17.0,120.447,2.0,MEDIUM,1.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.255543237250556,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
GIO,Alfa Romeo,41.0,117.141,2.0,MEDIUM,25.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.644678492239468,0,5.412,5,4.0,4.0,4.0,3,3,3,3,0,5.412,5,4.0,4.0,4.0,3,3,3,3
HAM,Mercedes,23.0,115.83200000000001,2.0,HARD,1.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.249678957989364,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
HAM,Mercedes,37.0,116.03800000000001,3.0,MEDIUM,4.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.28747018895616,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
BOT,Mercedes,22.0,115.432,2.0,HARD,1.0,3.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.176297926985875,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
